s,t,target_dim,target_masked_dim,next_dim,signatures,subalgebra_dim,num_new_gens,last_live_sig,rows_consumed,matrix_bytes,wall_us
6,37,176,26,194,7,8,1,5,3,5632,2066
19,47,37,19,41,1,2,0,-1,0,296,422
4,37,273,43,332,7,8,1,6,64,13104,2192
20,48,37,19,41,1,2,0,-1,0,296,442
10,40,83,14,94,7,8,1,6,18,1328,982
6,38,198,32,212,7,8,1,6,46,6336,1218
11,40,68,23,82,3,4,0,-1,0,1088,4929
7,38,157,25,198,7,8,1,6,6,5024,3489
5,38,213,35,294,7,8,1,6,40,8520,3056
3,38,364,59,252,7,8,0,-1,0,11648,3389
12,41,56,30,78,1,2,0,-1,0,896,579
11,41,79,23,94,3,4,1,2,17,1264,867
13,42,47,25,63,1,2,0,-1,0,376,565
2,41,311,12,86,31,32,0,-1,0,4976,5567
12,42,64,33,86,1,2,1,0,12,1024,480
13,43,53,27,69,1,2,1,0,6,848,339
8,39,115,16,173,7,8,2,6,11,2760,1435
14,43,45,24,52,1,2,0,-1,0,360,634
3,39,396,62,270,7,8,0,-1,0,15840,1555
6,39,216,34,233,7,8,0,-1,0,6912,1633
15,44,45,24,50,1,2,0,-1,0,360,348
7,39,174,26,215,7,8,1,6,32,5568,1956
14,44,51,26,57,1,2,1,0,3,408,551
16,45,43,23,49,1,2,0,-1,0,344,613
15,45,50,25,54,1,2,0,-1,0,400,787
8,40,129,20,189,7,8,1,6,25,3096,1326
4,38,295,48,364,7,8,1,6,60,14160,6411
16,46,47,24,53,1,2,0,-1,0,376,420
17,46,41,22,47,1,2,0,-1,0,328,989
9,40,96,14,128,7,8,2,6,14,1536,2410
18,47,41,22,45,1,2,0,-1,0,328,421
7,40,189,31,235,7,8,1,6,57,6048,2090
17,47,45,23,49,1,2,0,-1,0,360,769
19,48,41,22,45,1,2,0,-1,0,328,507
18,48,45,23,47,1,2,0,-1,0,360,520
2,42,330,17,92,31,32,0,-1,0,5280,4052
20,49,41,22,45,1,2,0,-1,0,328,466
10,41,96,14,106,7,8,2,6,16,1536,1498
19,49,45,23,47,1,2,0,-1,0,360,374
4,39,325,50,396,7,8,0,-1,0,18200,2913
8,41,140,22,209,7,8,0,-1,0,4480,2575
5,39,234,37,325,7,8,0,-1,0,11232,3357
20,50,45,23,47,1,2,0,-1,0,360,1430
9,41,107,17,139,7,8,1,1,4,2568,3086
11,42,88,14,106,7,8,1,5,3,1408,2116
9,42,118,19,154,7,8,0,-1,0,2832,1186
10,42,107,17,118,7,8,0,-1,0,1712,1202
12,43,70,21,98,3,4,1,1,3,1120,919
6,40,235,40,259,7,8,1,6,46,9400,2201
13,44,58,30,78,1,2,2,0,10,928,568
11,43,98,14,119,7,8,0,-1,0,1568,937
4,40,355,59,427,7,8,0,-1,0,19880,2860
14,45,56,28,64,1,2,1,0,3,448,399
5,40,259,43,355,7,8,1,6,59,12432,2710
10,43,119,19,131,7,8,0,-1,0,2856,1241
12,44,78,24,111,3,4,0,-1,0,1248,595
15,46,54,28,62,1,2,1,0,3,432,587
3,40,427,69,289,7,8,1,6,84,17080,8395
13,45,64,34,87,1,2,0,-1,0,1024,522
16,47,50,25,61,1,2,1,0,3,400,735
11,44,111,19,133,7,8,0,-1,0,2664,1663
14,46,62,34,70,1,2,1,0,9,992,856
6,41,264,43,284,7,8,0,-1,0,10560,1797
17,48,48,24,55,1,2,0,-1,0,384,410
5,41,284,47,384,7,8,0,-1,0,13632,2188
18,49,47,24,52,1,2,0,-1,0,376,553
15,47,62,33,70,1,2,1,0,6,992,763
12,45,87,14,120,7,8,1,6,16,1392,1113
19,50,47,24,51,1,2,0,-1,0,376,587
16,48,56,30,68,1,2,0,-1,0,896,1087
20,51,47,24,51,1,2,0,-1,0,376,679
4,41,385,60,463,7,8,0,-1,0,24640,3256
13,46,71,19,93,3,4,1,0,6,1136,1009
17,49,52,28,62,1,2,0,-1,0,416,482
7,41,210,34,263,7,8,0,-1,0,8400,5038
3,41,464,37,311,15,16,1,14,76,18560,3967
6,42,287,48,310,7,8,1,6,51,11480,2339
18,50,51,27,57,1,2,0,-1,0,408,488
19,51,51,27,55,1,2,0,-1,0,408,603
20,52,51,27,55,1,2,0,-1,0,408,480
5,42,310,50,420,7,8,1,6,78,17360,2073
8,42,154,26,229,7,8,1,6,8,4928,1949
3,42,499,52,330,15,16,1,14,95,23952,2760
14,47,71,36,76,1,2,1,0,7,1136,3381
9,43,132,23,171,7,8,1,6,18,3168,1291
4,42,421,66,499,7,8,2,6,217,26944,3261
6,43,315,48,340,7,8,1,6,54,15120,1879
15,48,69,35,75,1,2,1,0,11,1104,745
16,49,63,32,74,1,2,1,0,5,1008,742
10,44,134,24,146,7,8,1,6,29,3216,1515
7,42,229,38,287,7,8,1,6,20,9160,4850
17,50,58,29,67,1,2,1,0,3,928,553
5,43,342,52,457,7,8,1,6,66,21888,2165
11,45,121,20,147,7,8,1,6,10,2904,898
3,43,534,41,351,15,16,0,-1,0,25632,3333
12,46,94,16,133,7,8,1,6,14,2256,801
7,43,251,39,314,7,8,0,-1,0,10040,3457
4,43,458,68,534,7,8,1,6,85,32976,5198
18,51,56,28,61,1,2,0,-1,0,448,3747
8,43,172,28,250,7,8,1,6,39,5504,5589
6,44,349,57,371,7,8,2,6,155,16752,3497
7,44,278,47,348,7,8,2,6,140,13344,2967
19,52,55,28,59,1,2,0,-1,0,440,3273
9,44,147,25,187,7,8,1,6,21,3528,1980
8,44,187,32,277,7,8,0,-1,0,7480,2198
13,47,77,23,103,3,4,1,2,9,1232,5302
7,45,304,45,377,7,8,1,6,73,14592,2356
14,48,76,39,85,1,2,0,-1,0,1216,578
10,45,148,24,164,7,8,0,-1,0,3552,1399
9,45,164,28,207,7,8,0,-1,0,5248,1579
20,53,55,28,58,1,2,0,-1,0,440,2182
8,45,209,33,302,7,8,2,6,60,8360,1983
15,49,74,39,84,1,2,0,-1,0,1184,792
5,44,372,57,491,7,8,1,6,75,23808,6722
4,44,491,76,574,7,8,2,6,190,35352,6767
11,46,133,22,166,7,8,0,-1,0,3192,1460
10,46,166,29,183,7,8,0,-1,0,3984,1475
12,47,103,16,151,7,8,0,-1,0,2472,971
9,46,185,30,229,7,8,1,6,36,5920,1972
8,46,230,36,329,7,8,1,6,55,11040,2171
11,47,151,26,187,7,8,0,-1,0,3624,1293
13,48,85,13,116,7,8,0,-1,0,1360,677
5,45,404,61,531,7,8,2,6,146,29088,2165
14,49,84,24,95,3,4,0,-1,0,1344,546
12,48,116,20,165,7,8,1,6,13,2784,1149
9,47,203,31,250,7,8,1,6,37,6496,2078
13,49,96,17,126,7,8,1,6,12,1536,741
15,50,83,44,95,1,2,0,-1,0,1328,1390
10,47,188,32,202,7,8,1,6,31,6016,2726
6,45,378,55,402,7,8,0,-1,0,21168,4721
16,50,67,35,83,1,2,0,-1,0,1072,5421
14,50,96,30,104,3,4,1,2,10,1536,1083
17,51,61,32,74,1,2,0,-1,0,976,604
16,51,74,39,91,1,2,0,-1,0,1184,675
11,48,166,29,204,7,8,1,6,26,5312,1812
15,51,92,47,103,1,2,0,-1,0,1472,967
17,52,67,35,81,1,2,1,0,4,1072,522
10,48,205,32,224,7,8,0,-1,0,6560,2000
18,52,59,31,67,1,2,1,0,2,944,684
16,52,81,42,99,1,2,0,-1,0,1296,799
19,53,59,30,65,1,2,0,-1,0,944,375
18,53,66,34,73,1,2,1,0,3,1056,664
12,49,127,22,181,7,8,1,6,10,3048,1176
19,54,65,34,71,1,2,1,0,3,1040,432
7,46,329,50,408,7,8,1,6,77,18424,2616
20,54,58,30,64,1,2,0,-1,0,464,599
6,46,410,64,439,7,8,2,6,146,22960,2773
17,53,73,38,87,1,2,0,-1,0,1168,1214
11,49,181,27,227,7,8,0,-1,0,5792,2148
20,55,64,33,71,1,2,0,-1,0,1024,805
13,50,105,17,138,7,8,1,6,6,2520,1354
18,54,71,37,78,1,2,0,-1,0,1136,774
14,51,104,17,115,7,8,0,-1,0,1664,861
8,47,251,35,362,7,8,0,-1,0,12048,1905
19,55,71,37,76,1,2,0,-1,0,1136,640
7,47,364,56,450,7,8,0,-1,0,23296,1907
12,50,138,21,203,7,8,0,-1,0,4416,1254
20,56,69,36,76,1,2,0,-1,0,1104,445
15,52,99,31,114,3,4,0,-1,0,1584,806
13,51,115,17,154,7,8,0,-1,0,2760,1161
9,48,224,33,274,7,8,1,5,5,8960,1547
16,53,87,45,110,1,2,0,-1,0,1392,645
